ICAO,IATA,Name
DKH,HO,Juneyao Airlines
KMF,RQ,Kam Air
KQA,KQ,Kenya Airways
KLJ,KJ,KlasJet
KLM,KL,KLM
KMM,KM,KM Malta Airlines
KAL,KE,Korean Air
KNA,KY,Kunming Airlines
KAC,KU,Kuwait Airways
DJT,B0,La Compagnie
LAM,TM,LAM
LAO,QV,Lao Airlines
TAM,JJ,LATAM Airlines Brasil
ARE,4C,LATAM Airlines Colombia
LNE,XL,LATAM Airlines Ecuador
LAN,LA,LATAM Airlines Group
LAP,PZ,LATAM Airlines Paraguay
LPE,LP,LATAM Airlines Peru
LTG,M3,LATAM Cargo Brasil
LCO,UC,LATAM Cargo Chile
FCA,FC,Link Airways
LNI,JT,Lion Air
LOG,LM,Loganair
CDC,GJ,Loong Air
LOT,LO,LOT Polish Airlines
LKE,8L,Lucky Air
DLH,LH,Lufthansa
GEC,LH,Lufthansa Cargo
LHX,VL,Lufthansa City Airlines
CLH,CL,Lufthansa CityLine
LGL,LG,Luxair
MGY,MD,Madagascar Airlines
MAS,MH,Malaysia Airlines
MDA,AE,Mandarin Airlines
MPH,MP,Martinair Cargo
MAA,M7,MasAir
MAI,L6,Mauritania Airlines International
MGH,4M,Mavi Gök Airlines (MGA)
MEA,ME,MEA
MGL,OM,MIAT Mongolian Airlines
MNB,MB,MNG Airlines
MMA,8M,Myanmar Airways International
UBA,UB,Myanmar National Airlines
NCR,N8,National Airlines
RON,ON,Nauru Airlines
NOS,NO,Neos
NMA,NE,Nesma Airlines
RVF,7H,New Pacific Airlines
NIA,NP,Nile Air
NCA,KZ,Nippon Cargo Airlines
NOK,DD,Nok Air
TYA,Y7,NordStar
NWS,N4,Nordwind Airlines
FCM,N7,Norra
LBT,BJ,Nouvelair
OKA,BK,Okay Airways
OAL,OA,Olympic Air
OMA,WY,Oman Air
OLA,OF,Overland Airways
PIA,PK,Pakistan International Airlines
GAP,2P,PAL Express
AZP,ZP,Paranair
PGT,PC,Pegasus Airlines
PER,UF,Petroleum Air Services
PGA,NI,PGA-Portugalia Airlines
PAL,PR,Philippine Airlines
PUE,PU,Plus Ultra
PAC,PO,Polar Air Cargo
APF,HP,PopulAir
POE,PD,Porter Airlines
MSA,M4,Poste Air Cargo
PRF,PW,Precision Air
PVG,P6,Privilege Style
PFZ,P0,Proflight Zambia
QFA,QF,Qantas
QTR,QR,Qatar Airways
QAZ,IQ,Qazaq Air
QDA,QW,Qingdao Airlines
RSX,4S,Red Sea Airlines
RXI,RX,Riyadh Air
SDM,FV,Rossiya Airlines
RAM,AT,Royal Air Maroc
RBA,BI,Royal Brunei
RJA,RJ,Royal Jordanian
RLH,DR,Ruili Airlines
RLU,7R,RusLine
RWD,WB,RwandAir
RYR,FR,Ryanair
RUK,RK,Ryanair UK
SBI,S7,S7 Airlines
SFR,FA,Safair
OMS,OV,Salam Air
SAS,SK,SAS
SAT,SP,SATA  Air Acores
SVA,SV,Saudi Arabian Airlines
VSV,DV,SCAT Airlines
TGW,TR,Scoot
CSS,O3,SF Airlines
CDG,SC,Shandong Airlines
CSH,FM,Shanghai Airlines
CSZ,ZH,Shenzhen Airlines
CSC,3U,Sichuan Airlines
AZG,7L,Silk Way West Airlines
SIA,SQ,Singapore Airlines
SKU,H2,SKY Airline
SEH,GQ,Sky express
SQP,PQ,SkyUp Airlines
AUL,5N,Smartavia
LYX,2N,SmartLynx Airlines Malta
TVS,QS,Smartwings
SOL,IE,Solomon Airlines
SMR,SZ,Somon Air
SAA,SA,South African Airways
SWA,WN,Southwest Airlines
STW,2S,Southwind Airlines
SEJ,SG,SpiceJet
ALK,UL,SriLankan Airlines
SJX,JX,STARLUX Airlines
SCX,SY,Sun Country Airlines
SXS,XQ,SunExpress
YZR,Y8,Suparna Airlines
SWT,WT,Swiftair
SWR,LX,SWISS
SYR,RB,Syrianair
TWB,TW,T'way Air
DTA,DT,TAAG Angola Airlines
TAI,TA,TACA
TGU,5U,TAG Airlines
TWI,TI,Tailwind Airlines
TAP,TP,TAP Air Portugal
ROT,RO,TAROM
THA,TG,Thai Airways International
TLM,SL,Thai Lion Air
GCR,GS,Tianjin Airlines
TBA,TV,Tibet Airlines
TUI,X3,TUIfly
TAR,TU,Tunisair
THY,TK,Turkish Airlines
CYF,U8,TUS Airways
KZU,GO,ULS Airlines Cargo
UIA,B7,UNI AIR
UAL,UA,United Airlines
NUA,UN,United Nigeria Airlines
UPS,5X,UPS Airlines
SVR,U6,Ural Airlines
CUH,UQ,Urumqi Air
UBG,BS,US-Bangla Airlines
UTA,UT,UTair
UZB,HY,Uzbekistan Airways
VJC,VJ,Vietjet
HVN,VN,Vietnam Airlines
VIR,VS,Virgin Atlantic
VAU,VA,Virgin Australia
VOI,Y4,Volaris
VOE,V7,Volotea
VLG,VY,Vueling
PLM,EB,Wamos Air
CHB,PN,West Air
WJA,WS,WestJet
WHT,WI,White coloured by you
WIF,WF,Wideroe
WFL,2W,World2Fly
CXA,MF,Xiamen Airlines
HYT,YG,YTO Cargo Airlines
