Name,ICAO,IATA
Juneyao Airlines,DKH,HO
Kam Air,KMF,RQ
Kenya Airways,KQA,KQ
KlasJet,KLJ,KJ*
KLM,KLM,KL
KM Malta Airlines,KMM,KM
Korean Air,KAL,KE
Kunming Airlines,KNA,KY
Kuwait Airways,KAC,KU
La Compagnie,DJT,B0
LAM,LAM,TM
Lao Airlines,LAO,QV
LATAM Airlines Brasil,TAM,JJ
LATAM Airlines Colombia,ARE,4C
LATAM Airlines Ecuador,LNE,XL
LATAM Airlines Group,LAN,LA
LATAM Airlines Paraguay,LAP,PZ
LATAM Airlines Peru,LPE,LP
LATAM Cargo Brasil,LTG,M3
LATAM Cargo Chile,LCO,UC
Link Airways,,FC
Lion Air,LNI,JT
Loganair,LOG,LM
Loong Air,CDC,GJ
LOT Polish Airlines,LOT,LO
Lucky Air,LKE,8L
Lufthansa,DLH,LH
Lufthansa Cargo,GEC,LH
Lufthansa City Airlines,LHX,VL
Lufthansa CityLine,CLH,CL
Luxair,LGL,LG
Madagascar Airlines,MGY,MD
Malaysia Airlines,MAS,MH
Mandarin Airlines,MDA,AE
Martinair Cargo,MPH,MP
MasAir,MAA,M7
Mauritania Airlines International,MAI,L6
Mavi Gök Airlines (MGA),MGH,4M
MEA,MEA,ME
MIAT Mongolian Airlines,MGL,OM
MNG Airlines,MNB,MB
Myanmar Airways International,MMA,8M
Myanmar National Airlines,UBA,UB
National Airlines,NCR,N8
Nauru Airlines,RON,ON
Neos,NOS,NO
Nesma Airlines,NMA,NE
New Pacific Airlines,RVF,7H
Nile Air,NIA,NP
Nippon Cargo Airlines,NCA,KZ
Nok Air,NOK,DD
NordStar,TYA,Y7
Nordwind Airlines,NWS,N4
Norra,FCM,N7
Nouvelair,LBT,BJ
Okay Airways,OKA,BK
Olympic Air,OAL,OA
Oman Air,OMA,WY
Overland Airways,OLA,OF
Pakistan International Airlines,PIA,PK
PAL Express,GAP,2P
Paranair,AZP,ZP
Pegasus Airlines,PGT,PC
Petroleum Air Services,PER,UF
PGA-Portugalia Airlines,PGA,NI*
Philippine Airlines,PAL,PR
Plus Ultra,PUE,PU
Polar Air Cargo,PAC,PO
PopulAir,APF,HP
Porter Airlines,POE,PD
Poste Air Cargo,MSA,M4
Precision Air,PRF,PW
Privilege Style,PVG,P6
Proflight Zambia,PFZ,P0
Qantas,QFA,QF
Qatar Airways,QTR,QR
Qazaq Air,QAZ,IQ
Qingdao Airlines,QDA,QW
Red Sea Airlines,RSX,4S
Riyadh Air,RXI,RX
Rossiya Airlines,SDM,FV
Royal Air Maroc,RAM,AT
Royal Brunei,RBA,BI
Royal Jordanian,RJA,RJ
Ruili Airlines,RLH,DR
RusLine,RLU,7R
RwandAir,RWD,WB
Ryanair,RYR,FR
Ryanair UK,RUK,RK
S7 Airlines,SBI,S7
Safair,SFR,FA
Salam Air,OMS,OV
SAS,SAS,SK
SATA  Air Acores,SAT,SP
Saudi Arabian Airlines,SVA,SV
SCAT Airlines,VSV,DV
Scoot,TGW,TR
SF Airlines,CSS,O3
Shandong Airlines,CDG,SC
Shanghai Airlines,CSH,FM
Shenzhen Airlines,CSZ,ZH
Sichuan Airlines,CSC,3U
Silk Way West Airlines,AZG,7L
Singapore Airlines,SIA,SQ
SKY Airline,SKU,H2
Sky express,SEH,GQ
SkyUp Airlines,SQP,PQ
Smartavia,AUL,5N
SmartLynx Airlines Malta,LYX,2N*
Smartwings,TVS,QS
Solomon Airlines,SOL,IE
Somon Air,SMR,SZ
South African Airways,SAA,SA
Southwest Airlines,SWA,WN
Southwind Airlines,STW,2S
SpiceJet,SEJ,SG
SriLankan Airlines,ALK,UL
STARLUX Airlines,SJX,JX
Sun Country Airlines,SCX,SY
SunExpress,SXS,XQ
Suparna Airlines,YZR,Y8
Swiftair,SWT,WT
SWISS,SWR,LX
Syrianair,SYR,RB
T'way Air,TWB,TW
TAAG Angola Airlines,DTA,DT
TACA,TAI,TA
TAG Airlines,TGU,5U
Tailwind Airlines,TWI,TI*
TAP Air Portugal,TAP,TP
TAROM,ROT,RO
Thai Airways International,THA,TG
Thai Lion Air,TLM,SL
Tianjin Airlines,GCR,GS
Tibet Airlines,TBA,TV
TUIfly,TUI,X3
Tunisair,TAR,TU
Turkish Airlines,THY,TK
TUS Airways,CYF,U8
ULS Airlines Cargo,KZU,GO*
UNI AIR,UIA,B7
United Airlines,UAL,UA
United Nigeria Airlines,NUA,UN
UPS Airlines,UPS,5X
Ural Airlines,SVR,U6
Urumqi Air,CUH,UQ
US-Bangla Airlines,UBG,BS
UTair,UTA,UT
Uzbekistan Airways,UZB,HY
Vietjet,VJC,VJ
Vietnam Airlines,HVN,VN
Virgin Atlantic,VIR,VS
Virgin Australia,VAU,VA
Volaris,VOI,Y4
Volotea,VOE,V7
Vueling,VLG,VY
Wamos Air,PLM,EB
West Air,CHB,PN
WestJet,WJA,WS
White coloured by you,WHT,WI
Wideroe,WIF,WF
World2Fly,WFL,2W
Xiamen Airlines,CXA,MF
YTO Cargo Airlines,HYT,YG
